Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,6726
Base Time Seconds,1731599641
Base Time Fractional,.812043560
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
109,157.4396272491,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:10,.737530640
110,157.4338718866,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999291896820,Volt DC,1,T,2W,F,F,11/14/2024,15:54:10,.820188980
111,157.4278313263,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:10,.902825980
112,157.4219643348,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999296665192,Volt DC,1,T,2W,F,F,11/14/2024,15:54:10,.985456840
113,157.4160487104,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:11,.068110840
114,157.4107119767,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999303817749,Volt DC,1,T,2W,F,F,11/14/2024,15:54:11,.150757980
115,157.404977365,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999284744263,Volt DC,1,T,2W,F,F,11/14/2024,15:54:11,.233392000
116,157.3989159492,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999287128448,Volt DC,1,T,2W,F,F,11/14/2024,15:54:11,.316044860
117,157.3936409824,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999301433563,Volt DC,1,T,2W,F,F,11/14/2024,15:54:11,.398682240
118,157.3879711132,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999291896820,Volt DC,1,T,2W,F,F,11/14/2024,15:54:11,.481325320
119,157.3822742714,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999284744263,Volt DC,1,T,2W,F,F,11/14/2024,15:54:11,.563992120
120,157.3767885195,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999301433563,Volt DC,1,T,2W,F,F,11/14/2024,15:54:11,.646639260
121,157.3710880215,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999277591705,Volt DC,1,T,2W,F,F,11/14/2024,15:54:11,.729277580
122,157.3660268182,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999289512634,Volt DC,1,T,2W,F,F,11/14/2024,15:54:11,.811911260
